cc,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
19487,Married,Male,30000,2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,No
13826,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,No
20619,Single,Male,80000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,No
12558,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No
24871,Single,Female,90000,4,High School,Management,No,3,5-10 Miles,Europe,56,No
17319,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No
28906,Married,Male,80000,4,High School,Professional,Yes,2,10+ Miles,Europe,54,No
24185,Single,Female,10000,1,High School,Manual,No,1,1-2 Miles,Europe,45,No
19291,Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No
16185,Single,Male,60000,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,No
29337,Single,Male,30000,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,No
16438,Married,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No
16200,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,No
24857,Married,Female,130000,3,High School,Professional,Yes,4,0-1 Miles,Europe,52,No
14517,Married,Female,20000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,No
12678,Single,Female,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,No
16188,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,No
19461,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,No
28412,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No
19608,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No
24119,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No
15608,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,No
16487,Single,Female,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
17197,Single,Female,90000,5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,No
12507,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No
26852,Married,Female,20000,3,High School,Manual,Yes,2,0-1 Miles,Europe,43,No
12274,Single,Male,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No
24149,Married,Male,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No
26139,Single,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,No
22707,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
14682,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No
17650,Single,Female,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,No
22496,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,No
19914,Married,Male,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,No
12871,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No
15922,Married,Male,150000,2,High School,Professional,Yes,4,0-1 Miles,Europe,48,No
12344,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No
23627,Single,Female,100000,3,Partial College,Management,No,4,5-10 Miles,Europe,56,No
29301,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No
12716,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No
12472,Married,Male,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,No
12993,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,No
21094,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No
12234,Married,Male,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,No
17994,Single,Male,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,No
16614,Married,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No
20729,Married,Female,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No
19675,Married,Male,20000,4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,No
12728,Single,Male,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,No
29117,Single,Male,100000,1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,No
17845,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,No
25058,Married,Male,100000,1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,No
23426,Single,,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No
12664,Married,Female,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,No
23979,Single,Male,10000,2,Partial College,Manual,No,0,0-1 Miles,Europe,50,No
20797,Married,Female,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No
24279,Single,Male,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,No
15465,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,No
14233,Single,Male,100000,0,High School,Management,Yes,3,10+ Miles,Pacific,35,No
12273,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
18144,Married,Female,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,No
23963,Married,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,No
17907,Married,Female,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,No
27304,Single,Female,110000,2,Partial College,Professional,No,3,5-10 Miles,Europe,48,No
25529,Single,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,No
19445,Married,Female,10000,2,High School,Manual,No,1,0-1 Miles,Europe,38,No
28918,Married,Female,130000,4,High School,Management,No,4,10+ Miles,Europe,58,No
18151,Single,Male,80000,5,Partial College,Professional,No,2,10+ Miles,Europe,59,No
16489,Married,Male,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
15682,Single,Female,80000,5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,No
26032,Married,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,No
17843,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No
16209,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,,1-2 Miles,Europe,36,No
24584,Single,Male,60000,0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,No
24842,Single,Female,90000,3,High School,Professional,No,1,2-5 Miles,Europe,51,No
11415,Single,Male,90000,5,Partial College,Professional,No,2,10+ Miles,Europe,62,No
14669,Married,Female,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,No
20946,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
25026,Married,Male,20000,2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,No
13673,Single,Female,20000,,Partial High School,Manual,No,2,0-1 Miles,Europe,25,No
16043,Single,Male,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No
25313,Single,Male,10000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,No
13813,Married,Female,30000,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,No
18711,Single,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,No
19650,Married,Female,30000,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,No
14135,Married,Male,20000,1,Partial College,Manual,Yes,0,1-2 Miles,Europe,,No
26849,Married,Male,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
20962,Married,Female,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
28915,Single,Male,80000,5,High School,Management,Yes,3,10+ Miles,Europe,57,No
22830,Married,Male,120000,4,Partial College,Management,Yes,3,10+ Miles,Europe,56,No
12591,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
22006,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,No
17702,Married,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,No
12503,Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,No
22527,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No
13981,Married,Female,10000,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,No
18172,Married,Male,130000,4,High School,Professional,Yes,3,0-1 Miles,Europe,55,No
12666,Single,Male,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,No
21375,Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57,No
21738,Married,Male,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,No
14193,Single,Female,100000,3,Partial College,Management,Yes,4,10+ Miles,Europe,56,No
22672,Single,Female,30000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,No
28468,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51,No
23419,Single,Female,70000,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,No
20919,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No
20927,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,No
19626,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,45,No
25665,Single,Female,20000,0,High School,Manual,No,1,1-2 Miles,Europe,28,No
26879,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,30,No
14545,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No
14804,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
12629,Single,Male,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,37,No
14696,Single,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,No
22005,Married,Female,70000,5,Partial College,Skilled Manual,No,3,5-10 Miles,Pacific,46,No
14544,Single,Male,10000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,49,No
14312,Married,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,No
29120,Single,Female,100000,1,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,No
15758,Married,Male,130000,0,Graduate Degree,Management,Yes,0,5-10 Miles,Pacific,48,No
13136,Married,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,69,No
25906,Single,Female,10000,5,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,No
20897,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40,No
25923,Single,Male,10000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No
20974,Married,Male,10000,2,Bachelors,Clerical,Yes,1,0-1 Miles,Europe,66,No
17522,Married,Male,120000,4,Bachelors,Management,Yes,1,2-5 Miles,Pacific,47,No
21207,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,No
21213,Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,No
19066,Married,Male,130000,4,Partial College,Professional,No,3,10+ Miles,Europe,54,No
11386,Married,Female,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,45,No
28379,Married,Male,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,40,No
14865,Single,Male,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,36,No
12663,Married,Female,90000,5,Partial High School,Skilled Manual,Yes,2,10+ Miles,Europe,59,No
24898,Single,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No
19508,Married,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No
25241,Married,Male,90000,2,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,No
24369,Married,,80000,5,Graduate Degree,Management,No,2,0-1 Miles,Pacific,39,No
27165,Single,Male,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,No
29424,Married,Male,10000,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32,No
14554,Married,Male,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,No
16468,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,30,No
19183,Single,Male,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35,No
13683,Single,Female,30000,0,High School,Manual,No,1,2-5 Miles,Europe,32,No
23915,Married,Male,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,No
27941,Married,Female,80000,4,Partial College,Professional,Yes,2,2-5 Miles,Europe,53,No
14785,Single,Male,30000,1,Bachelors,Clerical,No,1,1-2 Miles,Europe,39,No
17238,Single,Male,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No
22538,Single,Female,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,33,No
17230,Married,Male,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,30,No
17324,Married,Female,100000,4,Bachelors,Professional,Yes,1,10+ Miles,Pacific,46,No
22918,Single,Male,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,,No
25512,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,30,No
16179,Single,Female,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,38,No
15628,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,89,No
20417,Married,Male,30000,3,Partial College,Clerical,No,2,5-10 Miles,Pacific,56,No
18267,Married,Male,60000,3,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,43,No
22974,Married,Female,30000,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,69,No
13586,Married,Male,80000,4,Partial College,Professional,Yes,2,10+ Miles,Europe,53,No
18018,Single,Male,30000,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,No
12568,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64,No
21184,Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No
24151,Single,Male,20000,1,Bachelors,Clerical,No,0,0-1 Miles,Europe,51,No
23962,Married,Female,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,32,No
21365,Married,Female,10000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No
25792,Single,Female,110000,3,Bachelors,Management,Yes,4,10+ Miles,Europe,53,No
11555,Married,Female,40000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,80,No
22381,Married,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,No
17882,Married,Male,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,No
18012,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,No
12744,Single,Female,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,33,No
22821,Married,Female,130000,3,Partial College,Professional,Yes,4,0-1 Miles,Europe,52,No
11116,Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,43,No
20053,Single,Male,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,34,No
25266,Single,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,67,No
13961,Married,Female,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No
11139,Single,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,67,No
18153,Married,Female,100000,2,Bachelors,Management,Yes,4,10+ Miles,Europe,59,No
14547,Married,Male,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51,No
14805,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
15822,Married,Male,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,67,No
19389,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,28,No
22204,Married,Male,110000,4,Bachelors,Management,Yes,3,2-5 Miles,Pacific,48,No
12718,Single,Female,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,31,No
15019,Single,Female,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
27814,Single,Female,30000,3,Partial College,Clerical,No,1,0-1 Miles,Europe,26,No
29447,Single,Female,10000,2,Bachelors,Clerical,No,1,2-5 Miles,Europe,68,No
19618,Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,0-1 Miles,Pacific,44,No
12731,Single,Male,30000,0,High School,Manual,No,1,1-2 Miles,Europe,32,No
14278,Married,Female,130000,0,Graduate Degree,Management,Yes,1,10+ Miles,Pacific,48,No
11383,Married,Female,30000,3,Graduate Degree,Clerical,Yes,,0-1 Miles,Europe,46,No
12497,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No
11585,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,No
20277,Married,Female,30000,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,69,No
26765,Single,Female,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,45,No
12389,Single,Male,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,No
26385,Single,Male,120000,3,High School,Professional,No,4,5-10 Miles,Europe,50,No
12236,Married,Female,20000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,65,No
21554,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,No
19331,Single,Male,20000,2,High School,Manual,Yes,1,0-1 Miles,Europe,40,No
11149,Married,Male,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,No
18253,Married,Female,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No
20147,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No
15612,Single,Male,30000,0,High School,Manual,No,1,1-2 Miles,Europe,28,No
19748,Married,Male,20000,4,High School,Skilled Manual,No,2,1-2 Miles,Pacific,60,No
18294,Married,Female,90000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,46,No
15450,Married,Male,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,No
19491,Single,Male,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No
26415,Married,Female,90000,4,Partial High School,Skilled Manual,Yes,4,10+ Miles,Europe,58,No
12821,Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,No
15629,Single,Female,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,34,No
27835,Married,Male,20000,0,Partial High School,Manual,Yes,2,0-1 Miles,Europe,32,No
11738,Married,Male,60000,4,Bachelors,Professional,Yes,0,2-5 Miles,North America,46,No
25065,Married,Male,70000,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,48,No
27650,Married,Male,70000,4,High School,Professional,Yes,0,5-10 Miles,North America,51,No
24981,Married,Male,60000,2,Partial College,Professional,Yes,2,10+ Miles,North America,56,No
15559,Married,Male,60000,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47,No
19235,Married,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,34,No
15275,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,29,No
15940,Married,Male,100000,4,Partial College,Professional,Yes,4,0-1 Miles,North America,40,No
16337,Married,Male,60000,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,29,No
19399,Single,Male,40000,0,Bachelors,Professional,No,1,2-5 Miles,North America,45,No
16154,Married,Female,70000,5,Bachelors,Professional,Yes,2,2-5 Miles,North America,47,No
22219,Married,Female,60000,2,High School,Professional,Yes,2,5-10 Miles,North America,49,No
15740,Married,Male,80000,5,Bachelors,Management,Yes,2,1-2 Miles,North America,64,No
27638,Single,Male,100000,1,Partial College,Professional,No,3,1-2 Miles,North America,44,No
17471,Single,Female,80000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,67,No
15382,Married,Female,110000,1,Bachelors,Management,Yes,2,1-2 Miles,North America,44,No
11641,Married,Male,50000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,36,No
11935,Single,Female,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
14092,Single,Male,30000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,28,No
24941,Married,Male,60000,3,Bachelors,Management,Yes,2,10+ Miles,North America,66,No
24637,Married,Male,40000,4,High School,Professional,Yes,2,10+ Miles,North America,64,No
23893,Married,Male,50000,3,Bachelors,Skilled Manual,Yes,3,10+ Miles,North America,41,No
11262,Married,Female,80000,4,Bachelors,Management,Yes,0,0-1 Miles,North America,42,No
12195,Single,Female,70000,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,52,No
25375,Married,Male,50000,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,34,No
11143,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,29,No
25898,Married,Female,70000,2,High School,Professional,Yes,2,2-5 Miles,North America,53,No
24397,Single,Male,120000,2,Bachelors,Management,No,4,1-2 Miles,North America,40,No
19758,Single,Male,60000,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,29,No
18674,Single,Female,80000,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,48,No
27393,Married,Female,50000,4,Bachelors,Management,Yes,2,10+ Miles,North America,63,No
25293,Married,Male,80000,4,Bachelors,Management,Yes,0,1-2 Miles,North America,42,No
24725,Married,Female,40000,3,Partial College,Clerical,Yes,0,1-2 Miles,North America,31,No
23200,Married,Female,50000,3,Bachelors,Skilled Manual,Yes,2,0-1 Miles,North America,41,No
15895,Single,Female,60000,2,Bachelors,Management,Yes,0,10+ Miles,North America,58,No
18577,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,40,No
27218,Married,Female,20000,2,Partial High School,Clerical,No,,0-1 Miles,North America,48,No
25006,Single,Female,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
17369,Single,Male,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,27,No
18847,Married,Female,60000,2,Graduate Degree,Management,Yes,2,5-10 Miles,North America,70,No
26452,Single,Male,50000,3,Graduate Degree,Management,Yes,2,10+ Miles,North America,69,No
20370,Married,Male,70000,3,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52,No
20528,Married,Male,40000,2,Partial High School,Skilled Manual,Yes,2,2-5 Miles,North America,55,No
23549,Single,Male,30000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,30,No
21751,Married,Male,60000,3,Graduate Degree,Management,Yes,2,1-2 Miles,North America,63,No
13388,Single,Male,60000,2,Partial College,Professional,Yes,1,10+ Miles,North America,56,No
18752,Single,Female,40000,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,31,No
16917,Married,Male,120000,1,Bachelors,Management,Yes,4,0-1 Miles,North America,38,No
15313,Married,Male,60000,4,Bachelors,Management,Yes,2,2-5 Miles,North America,59,No
25329,Single,Female,40000,3,Partial College,Clerical,No,2,0-1 Miles,North America,32,No
20380,Married,Female,60000,3,Graduate Degree,Management,Yes,2,10+ Miles,North America,69,No
23089,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
13749,Married,Male,80000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,No
24943,Married,Male,60000,3,Bachelors,Management,Yes,2,10+ Miles,North America,66,No
17436,Married,Male,60000,2,High School,Professional,No,2,1-2 Miles,North America,51,No
18935,Married,Female,130000,0,Graduate Degree,Management,Yes,3,1-2 Miles,North America,40,No
12100,Single,Male,60000,2,Bachelors,Management,Yes,0,10+ Miles,North America,57,No
18391,Single,Female,80000,5,Partial College,Professional,Yes,2,5-10 Miles,North America,44,No
27660,Married,Male,80000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,70,No
18058,Single,Female,20000,3,High School,Skilled Manual,Yes,2,2-5 Miles,North America,78,No
20343,Married,Female,90000,4,Partial College,Professional,Yes,1,1-2 Miles,North America,45,No
24398,Married,Male,130000,1,Graduate Degree,Management,Yes,4,0-1 Miles,North America,41,No
28609,Married,Male,30000,2,High School,Skilled Manual,No,2,0-1 Miles,North America,49,No
29231,Single,,80000,4,Partial College,Professional,No,2,0-1 Miles,North America,43,No
25261,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,27,No
11644,Single,Male,40000,2,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,36,No
25983,Married,Male,70000,0,Bachelors,Professional,No,1,0-1 Miles,North America,43,No
14633,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,No
22983,Single,Female,30000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,27,No
14469,Married,Female,100000,3,Partial College,Professional,Yes,4,1-2 Miles,North America,45,No
16245,Single,Female,80000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,No
25347,Single,Female,20000,3,Partial High School,Clerical,No,2,0-1 Miles,North America,49,No
15814,Single,Female,40000,0,High School,Skilled Manual,Yes,1,5-10 Miles,North America,30,No
11200,Married,Male,70000,4,Bachelors,Management,Yes,1,1-2 Miles,North America,58,No
25101,Married,Male,60000,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47,No
